차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,차량모델,제조사,가격
86어0260,19년12월(20년형),"26,397",LPG,수동,정보없음,승합,796,흰색,없음,없음,없음,2.13E+11,뉴 다마스 밴2인승 판넬밴 DLX ,한국GM,690만원
31버5271,11년05월(11년형),"9,730",가솔린,오토,정보없음,대형,0,은색,정보없음,없음,없음,2021048994,SM7 뉴아트SE Pleasure ,르노삼성,790만원
30무0128,16년07월(16년형),"54,042",가솔린,오토,9.4,대형,0,검정색,정보없음,없음,없음,2021048999,제네시스DHG330 모던 ,현대,"2,400만원"
53머5702,10년11월(11년형),"38,522",가솔린,오토,정보없음,중형,0,회색,정보없음,없음,없음,2021047693,YF쏘나타Y20 프리미어 최고급형,현대,780만원
77어8325,15년12월(15년형),"61,582",디젤,수동,정보없음,승합,"2,497",검정색,없음,없음,없음,2.02E+11,쏠라티2.5 디젤 14인승 럭셔리,현대,"2,850만원"
20고0876,16년08월(17년형),"52,350",가솔린,오토,정보없음,중형,0,흰색,정보없음,없음,없음,2021047131,LF쏘나타2.0 스마트 기본형,현대,"1,550만원"
24다8880,09년04월(09년형),"95,908",디젤,오토,10.7,RV,0,은색,정보없음,없음,없음,2020123362,그랜드카니발GLX 리무진 9인승 ,기아,666만원
63도9472,12년06월(13년형),"55,909",가솔린,오토,9.6,대형,0,검정색,정보없음,없음,없음,2021046535,K93.3 GDI 프레스티지 2013이후,기아,"1,850만원"
72누1696,16년01월(16년형),"71,451",디젤,오토,정보없음,승합,"2,497",노랑색,없음,없음,없음,2020127404,그랜드스타렉스어린이보호차 모던,현대,"1,150만원"
01주6737,15년06월(16년형),"32,680",디젤,오토,11.2,RV,0,회색,정보없음,없음,없음,2021045924,올 뉴 카니발9인승 2.2 디젤 프레스티지,기아,"2,090만원"
11서5479,15년05월(16년형),"69,828",가솔린,오토,8.8,대형,0,검정색,정보없음,없음,없음,2021040210,제네시스DHG330 모던 AWD 기본형,현대,"2,390만원"
57더5083,06년07월(06년형),"106,446",가솔린,오토,정보없음,중형,"2,000",검정,없음,없음,없음,2019227280,뉴SM5LE ,르노삼성,150만원
79수4026,14년10월(15년형),"116,862",디젤,오토,정보없음,승합,"2,497",노랑색,없음,없음,없음,2020134719,그랜드스타렉스15인승 어린이버스 럭셔리,현대,"1,150만원"
86머0118,17년03월(17년형),"13,372",LPG,수동,정보없음,트럭,796,빨강,없음,없음,없음,2019240285,뉴 라보이동판매차 ,한국GM,370만원
295주4175,15년05월(15년형),"144,940",가솔린,오토,12.6,중형,"1,998",검정,없음,없음,없음,2020025480,SM5 노바PE ,르노삼성,499만원
27로5390,17년06월(18년형),"28,399",디젤,오토,10.5,SUV,0,흰색,정보없음,없음,없음,2020123459,G4 렉스턴2.2 2WD 럭셔리,쌍용,"2,300만원"
137오8846,17년03월(17년형),"48,394",가솔린,오토,12.1,중형,"1,999",은색,없음,없음,없음,2020052503,K5 2세대2.0 가솔린 MX 럭셔리,기아,"1,390만원"
280나3665,16년10월(16년형),"59,110",LPG,오토,정보없음,대형,"2,999",흰색,없음,없음,없음,2020073276,올 뉴 K73.0 LPI 렌터카 프레스티지 ,기아,"2,280만원"
70오2233,05년02월(05년형),"104,197",디젤,오토,정보없음,승합,"2,902",은색,없음,없음,없음,2020123478,봉고3코치 장축 12인승 LTD ,기아,396만원
81두6279,13년11월(14년형),"171,960",디젤,수동,정보없음,트럭,0,흰색,정보없음,없음,없음,2021055805,포터2초장축 슈퍼캡 CRDi PLUS 기본형,현대,830만원
247구2102,15년07월(16년형),"71,057",디젤,오토,14,대형,"2,199",은색,없음,없음,없음,2020081903,그랜저HGHG220 디젤 모던,현대,"1,390만원"
73무1958,13년10월(14년형),"116,616",디젤,오토,정보없음,승합,"2,497",노랑색,없음,없음,없음,2020124876,그랜드스타렉스어린이보호차 럭셔리,현대,899만원
373도4754,16년07월(16년형),"95,068",디젤,오토,15,SUV,"1,685",검정색,없음,없음,없음,2020081402,스포티지 4세대디젤 1.7 2WD 트렌디 ,기아,"1,270만원"
90모6049,19년06월(19년형),"74,200",디젤,오토,정보없음,트럭,0,회색,정보없음,없음,없음,2021048716,렉스턴 스포츠 칸2.2 디젤 4WD 프로페셔널 X,쌍용,"2,410만원"
85조4252,17년04월(18년형),"56,473",디젤,수동,정보없음,트럭,0,흰색,정보없음,없음,없음,2021042715,포터2초장축 더블캡 CRDi Smart,현대,"1,350만원"
23조6807,09년07월(10년형),"78,645",가솔린,오토,정보없음,준중형,"1,591",회색,없음,없음,없음,2020110502,쏘울1.6 2U 세이프티,기아,550만원
86소8783,10년01월(10년형),"125,097",디젤,오토,정보없음,트럭,0,은색,정보없음,없음,없음,2021032409,액티언스포츠AX5 CLUB(2WD) ,쌍용,490만원
11로6954,15년07월(16년형),"99,711",디젤,오토,11.2,RV,0,흰색,정보없음,없음,없음,201370490,올 뉴 카니발9인승 2.2 디젤 노블레스,기아,"1,969만원"
72머1298,14년05월(14년형),"88,579",디젤,수동,정보없음,버스,0,노랑색,정보없음,없음,없음,2020118433,뉴카운티장축 어린이 39인승 ,현대,"2,490만원"
83너8272,16년08월(16년형),"6,896",LPG,수동,정보없음,트럭,796,빨강,없음,없음,없음,2019237675,뉴 라보이동판매차 ,한국GM,570만원
103무3864,12년01월(12년형),"100,000",가솔린,오토,정보없음,준중형,"1,591",흰색,없음,없음,없음,2020249938,아반떼MDM16 GDi TOP ,현대,390만원
16수0921,15년11월(16년형),"77,555",디젤,오토,11.2,RV,"2,199",검정색,없음,없음,없음,2020247533,올 뉴 카니발7인승 2.2 디젤 리무진 VIP,기아,"2,090만원"
10모2776,06년11월(07년형),"83,217",가솔린,오토,정보없음,대형,"3,498",은색,없음,없음,없음,2021000282,SM7RE35 ,르노삼성,170만원
75저8776,08년01월(08년형),"238,392",디젤,오토,정보없음,RV,"2,902",은색,없음,없음,없음,20201331887,그랜드카니발GLX 최고급형,기아,300만원
67서8715,14년11월(15년형),"50,282",가솔린,CVT,15,준중형,"1,598",회색,없음,없음,없음,20201222802,SM3 네오SE 플러스 ,르노삼성,730만원
41소6610,15년01월(15년형),"49,264",디젤,오토,11.5,RV,"2,199",회색,없음,없음,없음,20210115,올 뉴 카니발9인승 2.2 디젤 프레스티지,기아,"1,999만원"
125너3695,13년07월(14년형),"80,673",디젤,오토,정보없음,준중형,"1,582",흰색,없음,없음,없음,2020260093,i30(신형)1.6 VGT PYL,현대,570만원
35로8774,12년08월(13년형),"139,000",가솔린,오토,9.6,대형,"3,342",검정색,없음,없음,없음,2020258321,제네시스BH330 PREMIUM 기본형,현대,750만원
338우5347,17년02월(17년형),"21,207",가솔린,CVT,정보없음,경차,999,회색,없음,없음,없음,2021005744,더 넥스트 스파크LTZ C-TECH ,한국GM,520만원
256저6765,18년04월(18년형),"71,002",디젤,오토,13.8,SUV,"1,995",회색,없음,없음,없음,1011308039,더 뉴 쏘렌토2.0 디젤 2WD 프레스티지,기아,"2,090만원"
